the most technologically advanced commercial aircraft,"[('New Microsoft Word Document', ['While the 777 is one of the most technologically advanced commercial aircraft in the world, pilots should always remember that the 777 is still a very large aircraft.'])]",1,1.0
the world,"[('New Microsoft Word Document', ['While the 777 is one of the most technologically advanced commercial aircraft in the world, pilots should always remember that the 777 is still a very large aircraft.'])]",1,1.0
pilot,"[('New Microsoft Word Document', ['While the 777 is one of the most technologically advanced commercial aircraft in the world, pilots should always remember that the 777 is still a very large aircraft.', 'For instance, pilots should not try a very short approach with very tight turns as if they were flying a 737 or other smaller aircraft.'])]",2,2.0
a very large aircraft,"[('New Microsoft Word Document', ['While the 777 is one of the most technologically advanced commercial aircraft in the world, pilots should always remember that the 777 is still a very large aircraft.'])]",1,1.0
large aircraft rule,"[('New Microsoft Word Document', ['Therefore, large aircraft rules apply to the 777.'])]",1,1.0
instance,"[('New Microsoft Word Document', ['For instance, pilots should not try a very short approach with very tight turns as if they were flying a 737 or other smaller aircraft.'])]",1,1.0
a very short approach,"[('New Microsoft Word Document', ['For instance, pilots should not try a very short approach with very tight turns as if they were flying a 737 or other smaller aircraft.'])]",1,1.0
very tight turn,"[('New Microsoft Word Document', ['For instance, pilots should not try a very short approach with very tight turns as if they were flying a 737 or other smaller aircraft.'])]",1,1.0
they,"[('New Microsoft Word Document', ['For instance, pilots should not try a very short approach with very tight turns as if they were flying a 737 or other smaller aircraft.'])]",1,1.0
a 737 or other small aircraft,"[('New Microsoft Word Document', ['For instance, pilots should not try a very short approach with very tight turns as if they were flying a 737 or other smaller aircraft.'])]",1,1.0
the 777's power,"[('New Microsoft Word Document', [""The 777's power can offset some pilot errors, but the power can also cause problems during tight maneuvers.""])]",1,1.0
some pilot error,"[('New Microsoft Word Document', [""The 777's power can offset some pilot errors, but the power can also cause problems during tight maneuvers.""])]",1,1.0
the power,"[('New Microsoft Word Document', [""The 777's power can offset some pilot errors, but the power can also cause problems during tight maneuvers.""])]",1,1.0
problem,"[('New Microsoft Word Document', [""The 777's power can offset some pilot errors, but the power can also cause problems during tight maneuvers.""])]",1,1.0
tight maneuver,"[('New Microsoft Word Document', [""The 777's power can offset some pilot errors, but the power can also cause problems during tight maneuvers.""])]",1,1.0
it,"[('New Microsoft Word Document', ['It is very cool.', 'It it it it', 'it', 'it is it it.'])]",10,10.0
